Environment,Episode,Robustness,End_Condition
4,37,-0.025276040189411833,too_many_steps
3,30,-0.042726162331472736,collision
4,38,-0.03037310012778815,collision
11,30,-0.017215207702072813,too_many_steps
3,31,-0.030072239308524113,collision
5,29,0.000664260786544621,perfect
6,37,-0.0008310494422806014,too_many_steps
4,39,0.0027610326183477828,perfect
6,38,-0.030955811888486572,collision
0,30,-0.032992987667612605,collision
10,32,-0.008801703185822678,too_many_steps
1,27,-0.023489238020387576,too_many_steps
2,29,0.007125312471494784,perfect
0,31,-0.035345909638084184,collision
11,31,-0.030768206758379258,collision
4,40,0.0034203522680551247,perfect
9,29,-0.0016098018986925172,too_many_steps
7,28,-0.002360535960143316,too_many_steps
0,32,-0.035239422506522775,collision
0,33,0.006199692378281394,perfect
0,34,-0.09018475594975271,collision
8,33,-0.00549024669793504,too_many_steps
1,28,-0.09797761668575143,collision
6,39,-0.03161876594393482,collision
1,29,-0.030842859921831164,collision
0,35,-0.04817968962952402,collision
3,32,-0.014408174212697952,too_many_steps
5,30,-0.027235298200191972,too_many_steps
7,29,-0.0334286399232086,collision
3,33,0.0014555029681963573,perfect
8,34,-0.0331366437805226,collision
7,30,-0.03156206043580158,collision
10,33,-0.013661075011267614,too_many_steps
1,30,-0.030298865821273228,collision
8,35,0.006715517036315483,perfect
1,31,-0.042130941798687906,collision
2,30,-0.010908266207172664,too_many_steps
2,31,-0.1197844065726786,collision
11,32,-0.0035288205718159507,too_many_steps
4,41,-0.0012148443767785698,too_many_steps
2,32,-0.03142383356326642,collision
7,31,0.0028658395136799027,perfect
9,30,-0.0011061319480460408,too_many_steps
2,33,-0.032649351821608476,collision
3,34,-0.053864949828982905,collision
3,35,0.009271936533431611,perfect
3,36,-0.03192039474968106,collision
6,40,-0.027515534308085468,too_many_steps
1,32,-0.03840529862489264,collision
8,36,-0.032720971729839794,collision
3,37,-0.036695728576398245,collision
11,33,-0.03094965966155414,collision
0,36,-0.0071725606323369065,too_many_steps
10,34,-0.03458891028636345,collision
5,31,-0.0064879603487054405,too_many_steps
11,34,0.0020997557462197475,perfect
11,35,0.002981330028368104,perfect
2,34,0.0022344637724432473,perfect
4,42,-0.022298372976791957,too_many_steps
7,32,-0.026798780922402163,too_many_steps
9,31,-0.005829266143856288,too_many_steps
4,43,-0.0334883524725055,collision
6,41,0.006854889004419978,perfect
3,38,-0.03138201607040589,collision
9,32,-0.03000226971903535,collision
1,33,-0.013587737232470469,too_many_steps
1,34,-0.043222342670108216,collision
0,37,0.0003460166902158855,perfect
8,37,-0.0011612732793868583,too_many_steps
8,38,-0.07459209793758848,collision
10,35,-0.002822820842909815,too_many_steps
1,35,0.0003878515835073343,perfect
6,42,-0.03790797518535465,collision
10,36,-0.03292710583539338,collision
6,43,-0.10387073372503633,collision
5,32,0.0028096303586690394,perfect
10,37,-0.038741708250943085,collision
11,36,-0.03322308688530333,collision
10,38,-0.03832537106729805,collision
10,39,-0.09267789891187286,collision
2,35,-0.013051259228438767,too_many_steps
2,36,0.0011392004127955026,perfect
4,44,0.003392765734613397,perfect
2,37,-0.0498163858641488,collision
1,36,-0.04535374002008205,collision
7,33,-0.00719253641660271,too_many_steps
3,39,-0.020109263661234104,too_many_steps
1,37,-0.03450945243993066,collision
1,38,0.007964986497684201,perfect
3,40,-0.03663444417402266,collision
9,33,-0.005001019417700238,too_many_steps
0,38,-0.02210361542803557,too_many_steps
8,39,-0.026821611431418445,too_many_steps
6,44,-0.024632575169777064,too_many_steps
5,33,-0.0032106010151275906,too_many_steps
9,34,0.0008460317756896693,perfect
11,37,-0.018826357590380694,too_many_steps
10,40,-0.013364285401177841,too_many_steps
9,35,-0.03244537632367456,collision
1,39,-0.030497448003191954,collision
5,34,-0.03475608408877674,collision
7,34,-0.03112386926795389,collision
9,36,0.002671449278565132,perfect
7,35,-0.03787952253263156,collision
10,41,-0.031174139890454946,collision
8,40,-0.03373689657250192,collision
0,39,0.002419902433453181,perfect
1,40,0.0005102814043686475,perfect
4,45,-0.029140060713565744,too_many_steps
2,38,-0.005422237584106607,too_many_steps
8,41,-0.035992588604807384,collision
3,41,-0.02142592193924566,too_many_steps
4,46,-0.04052454916987573,collision
3,42,0.006394208887484987,perfect
8,42,0.0009357618869440879,perfect
3,43,0.00036705568646694733,perfect
6,45,-0.028066424098403216,too_many_steps
11,38,-0.028617938829160233,too_many_steps
11,39,-0.05569835209001528,collision
7,36,-0.039270504308326445,collision
5,35,-0.016839910089170886,too_many_steps
5,36,-0.08102310674355788,collision
9,37,-0.02874379475636032,too_many_steps
10,42,-0.0065888358988341195,too_many_steps
7,37,-0.04038475671691194,collision
0,40,-0.030034117848234888,too_many_steps
1,41,-0.008457487325238398,too_many_steps
7,38,0.0027189372321831454,perfect
2,39,-0.029475962502982376,too_many_steps
2,40,0.0008194537143576819,perfect
4,47,-0.025948561204236435,too_many_steps
2,41,0.0074477764743712035,perfect
8,43,-0.011345938780448636,too_many_steps
2,42,-0.035059360477278693,collision
4,48,0.004533319637545113,perfect
3,44,-0.023669781095344164,too_many_steps
3,45,-0.030806428058122465,collision
6,46,-0.0029747938032377227,too_many_steps
11,40,-0.0016536770869515216,too_many_steps
1,42,0.0022771595021875736,perfect
5,37,-0.024516489911865797,too_many_steps
5,38,-0.06019535770713176,collision
9,38,-0.02858307430172663,too_many_steps
11,41,0.001805034797043456,perfect
10,43,-0.01826221921643758,too_many_steps
10,44,-0.045679598356338155,collision
0,41,-0.004090611985293882,too_many_steps
11,42,-0.035045535078604174,collision
7,39,-0.017298132631915986,too_many_steps
6,47,-0.042615028361507566,collision
7,40,0.0033214869482681153,perfect
3,46,-0.03678619694632582,collision
1,43,-0.037056312950581864,collision
5,39,-0.04214323705913038,collision
8,44,-0.04326103568659029,too_many_steps
2,43,-0.026226153179068085,too_many_steps
4,49,-0.020177413436940503,too_many_steps
6,48,-0.031212486232824507,collision
2,44,-0.041132276472793494,collision
6,49,0.00010722237984818819,perfect
4,50,0.00021006214467157378,perfect
9,39,-0.030427938579148377,collision
4,51,-0.03261678944626954,collision
6,50,-0.030482648891363182,collision
1,44,0.0027233218706377016,perfect
1,45,-0.05556201405806219,collision
3,47,0.008160486826492133,perfect
10,45,-0.006796530622548383,too_many_steps
9,40,0.007586450181958818,perfect
9,41,-0.04635772497481619,collision
0,42,-0.014934121517572542,too_many_steps
10,46,3.028933020141067e-05,perfect
0,43,0.00218178404710408,perfect
11,43,-0.024387145216965143,too_many_steps
6,51,-0.03370606259663806,collision
7,41,-0.0250804692132188,too_many_steps
6,52,0.0013515300981121123,perfect
6,53,-0.03110212639576119,collision
5,40,-0.008419477036194695,too_many_steps
8,45,-0.011865651047284584,too_many_steps
2,45,-0.02619981215845443,too_many_steps
3,48,-0.03205278953037577,collision
2,46,0.009767318199069057,perfect
3,49,0.004108037656668732,perfect
3,50,-0.03348334394991341,collision
4,52,-0.009545728899840664,too_many_steps
8,46,-0.031372271597402024,collision
1,46,-0.0198564233145208,too_many_steps
8,47,0.011358869804085311,perfect
8,48,-0.05043354288356665,collision
9,42,-0.023153200994848057,too_many_steps
10,47,-0.011248606702942858,too_many_steps
0,44,-0.0010889993552973196,too_many_steps
11,44,-0.0009558308983678293,too_many_steps
5,41,-0.03339792694038314,collision
7,42,-0.004521373997490072,too_many_steps
5,42,0.0019507444121625757,perfect
7,43,-0.040731629004539235,collision
6,54,-0.014276120570190697,too_many_steps
0,45,2.4652860653499864e-05,perfect
5,43,-0.031102982643752337,collision
11,45,-0.030587575409619976,collision
2,47,-0.02276253578634497,too_many_steps
10,48,-0.03144543388282345,collision
3,51,-0.015971430283523304,too_many_steps
10,49,-0.06475117269831009,collision
10,50,-0.04161731577836619,collision
4,53,-0.0005489483321286653,too_many_steps
4,54,-0.05983727464056597,collision
10,51,0.002240754425280843,perfect
1,47,-0.021475131111437375,too_many_steps
1,48,-0.10527734191645662,collision
3,52,-0.031011286501025716,collision
9,43,-0.031781899641708654,collision
8,49,-0.005605185640648415,too_many_steps
9,44,-0.0852948316337749,collision
1,49,-0.030645446075936136,collision
1,50,-0.03615388419916174,collision
7,44,-0.012202216263263448,too_many_steps
6,55,-0.007345082625584247,too_many_steps
0,46,-0.015814390145482585,too_many_steps
5,44,-0.019647585973764252,too_many_steps
11,46,-0.02096383174702063,too_many_steps
0,47,0.003137514736116117,perfect
2,48,-0.00702063705906332,too_many_steps
1,51,-0.03961261987021791,collision
4,55,-0.03148100030959588,collision
2,49,-0.030073394155356304,collision
4,56,0.0013207928434668774,perfect
4,57,-0.03155814112197647,collision
10,52,-0.014104479712426753,too_many_steps
7,45,-0.031539388784679344,collision
3,53,-0.02739659546354782,too_many_steps
1,52,-0.031803714775704636,collision
8,50,-0.008995470119437306,too_many_steps
9,45,-0.01322014053735697,too_many_steps
8,51,0.004137472553340064,perfect
8,52,0.011872182953904367,perfect
9,46,0.004461002074447938,perfect
2,50,-0.03447963342183367,collision
2,51,-0.03955630461073436,collision
9,47,0.005612643608816602,perfect
3,54,0.00021782410346431538,perfect
2,52,-0.030263135422288732,collision
6,56,-0.029819905971453276,too_many_steps
3,55,-0.03949555722624098,collision
7,46,-0.03012847124030156,collision
5,45,0.001978932557699379,perfect
5,46,0.0001580469574821025,perfect
5,47,-0.03621005907417536,collision
11,47,-0.002496109055706533,too_many_steps
3,56,0.00043443180677474325,perfect
0,48,-0.0291004388987387,too_many_steps
3,57,-0.054034878531403874,collision
3,58,-0.06251987489904483,collision
6,57,-0.030288032861906063,collision
3,59,0.00048789021769904406,perfect
4,58,-0.024484462172488227,too_many_steps
10,53,-0.017963018242305465,too_many_steps
1,53,-0.02764868342846985,too_many_steps
0,49,0.003623806857457147,perfect
8,53,-0.023006031564648817,too_many_steps
8,54,-0.049655313420999186,collision
9,48,-0.003992515413553513,too_many_steps
2,53,-0.015068511578226002,too_many_steps
2,54,0.001623066242575237,perfect
7,47,-0.012804182680868432,too_many_steps
2,55,-0.09769275604627566,collision
5,48,-0.0055115150134140145,too_many_steps
3,60,-0.03269557473405987,collision
5,49,-0.0656665285651251,collision
11,48,-0.017591154476675613,too_many_steps
3,61,-0.036628362046577656,collision
1,54,-0.03265605890950419,collision
6,58,-0.006442566637166247,too_many_steps
8,55,-0.03470731010672589,collision
0,50,-0.03209803811703589,collision
5,50,-0.03139445789739866,collision
0,51,-0.06058701531986915,collision
5,51,-0.03844307505213187,collision
5,52,-0.0863768879630209,collision
4,59,-0.01540681117400763,too_many_steps
4,60,-0.09037750965339351,collision
11,49,-0.03020452736829785,collision
10,54,-0.025886593327453435,too_many_steps
6,59,-0.03137262721314028,collision
6,60,-0.040181712545183504,collision
6,61,0.004683605663031557,perfect
6,62,0.009935589415382707,perfect
6,63,-0.04399907162922859,collision
9,49,-0.011522060760700052,too_many_steps
7,48,-0.00903915187935872,too_many_steps
2,56,-0.022091555813034378,too_many_steps
2,57,-0.05383846912891155,collision
7,49,0.0010628754814762248,perfect
6,64,-0.0312943401823384,collision
9,50,-0.036712955281288207,collision
2,58,0.0002776487370086157,perfect
3,62,-0.02655694992580089,too_many_steps
1,55,-0.026623179185862583,too_many_steps
3,63,0.008975180203841542,perfect
3,64,-0.036664380313115655,collision
3,65,0.0023157157037163832,perfect
